original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Niemi, Aukusti Robert	1869-1931.	Niemi, Aukusti Robert (1869-1931)	1869	1931	 1
Lagus, Gabriel Jonae	s. 1762.	Lagus, Gabriel Jonae (1762-NA)	1762	NA	 1
Wahlenberg, Göran	1780-1851.	Wahlenberg, Göran (1780-1851)	1780	1851	 1
Ursin, Nicolaus Abrahamus	1785-1851.	Ursin, Nicolaus Abrahamus (1785-1851)	1785	1851	 1
Kexlerus, Andreas Simonis	eli vielä 1707.	Kexlerus, Andreas Simonis (1707-NA)	1707	NA	 1
Europaeus, Anders Josef	1797-1870.	Europaeus, Anders Josef (1797-1870)	1797	1870	 1
Lindh, Theodor	1833-1904.	Lindh, Theodor (1833-1904)	1833	1904	 1
Hahn, Nicolaus Petri	eli vielä 1732.	Hahn, Nicolaus Petri (1732-NA)	1732	NA	 1
Schöneman, Gustaf Oskar	1839-1894.	Schöneman, Gustaf Oskar (1839-1894)	1839	1894	 1
Yrjö-Koskinen, E. S	1858-1916.	Yrjö-koskinen, E S (1858-1916)	1858	1916	 1
Ekman, Fredric Joachim	1798-1872.	Ekman, Fredric Joachim (1798-1872)	1798	1872	 1
Forsenius, Johannes Svenonis	k. 1675.	Forsenius, Johannes Svenonis (1675-NA)	1675	NA	 1
Stenroth, Maria	1875-1924	Stenroth, Maria (1875-1924)	1875	1924	 1
Hacks, Johan Petersson	1667-1735.	Hacks, Johan Petersson (1667-1735)	1667	1735	 1
Tvetovius, Laurentius Johannis	k. 1688.	Tvetovius, Laurentius Johannis (1688-NA)	1688	NA	 1
Zeiller, Martin	1589-1661	Zeiller, Martin (1589-1661)	1589	1661	 1
Ström, Johannes	1731-1815	Ström, Johannes (1731-1815)	1731	1815	 1
Kirchmaier, Georg Caspar	1635-1700.	Kirchmaier, Georg Caspar (1635-1700)	1635	1700	 1
Cörberus, Johannes	1587-1639.	Cörberus, Johannes (1587-1639)	1587	1639	 1
Berndtson, Fredrik	1820-1881.	Berndtson, Fredrik (1820-1881)	1820	1881	 1
Ludenius, Laurentius	1592-1654.	Ludenius, Laurentius (1592-1654)	1592	1654	 1
Renvall, Uuno	1877-1918.	Renvall, Uuno (1877-1918)	1877	1918	 1
Krogius, Paulus	1724-1792	Krogius, Paulus (1724-1792)	1724	1792	 1
Bladh, Peter Johan	1746-1816.	Bladh, Peter Johan (1746-1816)	1746	1816	 1
Comenius, Jan Amos	1592-1671.	Comenius, Jan Amos (1592-1671)	1592	1671	 1
Kellgren, Johannes Henricus	1751-1795.	Kellgren, Johannes Henricus (1751-1795)	1751	1795	 1
Til-Lantz, Elias	1640-1693	Til-lantz, Elias (1640-1693)	1640	1693	 1
Papke, Christianus Caroli	1718-1761	Papke, Christianus Caroli (1718-1761)	1718	1761	 1
Hedeen, Adolphus Ericus	1751-1784.	Hedeen, Adolphus Ericus (1751-1784)	1751	1784	 1
Mellin, Robert	1826-1880.	Mellin, Robert (1826-1880)	1826	1880	 1
Thuronius, Andreas Thuronis	1632-1665.	Thuronius, Andreas Thuronis (1632-1665)	1632	1665	 1
Schultén, Hugo af	1850-1891.	Schultén, Hugo Af (1850-1891)	1850	1891	 1
Cicero, Marcus Tullius	106-43 e. Kr.	Cicero, Marcus Tullius	NA	NA	 1
Nordström, Gunnar	1881-1923.	Nordström, Gunnar (1881-1923)	1881	1923	 1
Kempe, Laurentius Andreae	k. 1669?	Kempe, Laurentius Andreae (1669-NA)	1669	NA	 1
Montgomery, Robert	1834-1898.	Montgomery, Robert (1834-1898)	1834	1898	 1
Kexholmensis, Elias Johannis	k. 1710.	Kexholmensis, Elias Johannis (1710-NA)	1710	NA	 1
Lrn	1824-1884.	Lrn,  (1824-1884)	1824	1884	 1
Forbus, Henricus Henrici	1674-1737.	Forbus, Henricus Henrici (1674-1737)	1674	1737	 1
Sahlberg, Carolus Reginaldus	1779-1860.	Sahlberg, Carolus Reginaldus (1779-1860)	1779	1860	 1
Kallio, Kyösti	1873-1940.	Kallio, Kyösti (1873-1940)	1873	1940	 1
Bonsdorff, Petrus Christophori	1719-1803.	Bonsdorff, Petrus Christophori (1719-1803)	1719	1803	 1
Kr. In. Olin	1803-1873.	Olin, Kr (1803-1873)	1803	1873	 1
Hackman, Alfred	1864-1942.	Hackman, Alfred (1864-1942)	1864	1942	 1
Söderhjelm, Henning	1888-1967.	Söderhjelm, Henning (1888-1967)	1888	1967	 1
Soininen, Lauri	1875-1919.	Soininen, Lauri (1875-1919)	1875	1919	 1
Hahl, D	1847-1880.	Hahl, D (1847-1880)	1847	1880	 1
Wallenius, Gabriel Andreae	1648-1690	Wallenius, Gabriel Andreae (1648-1690)	1648	1690	 1
Hacks, Johannes Caroli	k. 1767	Hacks, Johannes Caroli (1767-NA)	1767	NA	 1
Krook, Johannes	k. 1778	Krook, Johannes (1778-NA)	1778	NA	 1
Cajander, Victor Leonhard	1837-1891.	Cajander, Victor Leonhard (1837-1891)	1837	1891	 1
Wacklin, Samuel Michaelis	1710-1780.	Wacklin, Samuel Michaelis (1710-1780)	1710	1780	 1
Krook, Benjamin Simonis	k. 1675.	Krook, Benjamin Simonis (1675-NA)	1675	NA	 1
Tigerstedt, Ericus Erici	1640-1697.	Tigerstedt, Ericus Erici (1640-1697)	1640	1697	 1
Tigerstedt, Petrus Erici	1679-1742.	Tigerstedt, Petrus Erici (1679-1742)	1679	1742	 1
Ekelund, Carolus Evert	1791-1843	Ekelund, Carolus Evert (1791-1843)	1791	1843	 1
Andelin, Werner	1869-1954.	Andelin, Werner (1869-1954)	1869	1954	 1
Jahnsson, A. W	1841-1894.	Jahnsson, A W (1841-1894)	1841	1894	 1
Choraeus, Michael	1774-1806	Choraeus, Michael (1774-1806)	1774	1806	 1
Grönstrand, Fredericus	1773-1820	Grönstrand, Fredericus (1773-1820)	1773	1820	 1
Spangenberg, Johann	1484-1550.	Spangenberg, Johann (1484-1550)	1484	1550	 1
Brofeldt, Pekka	1884-	Brofeldt, Pekka (1864-1945)	1864	1945	 1
Bergbom, Fredericus	1785-1830	Bergbom, Fredericus (1785-1830)	1785	1830	 1
Lille, Bengt Olof	1807-1875.	Lille, Bengt Olof (1807-1875)	1807	1875	 1
Bergroth, Julius Efraim	1819-1876.	Bergroth, Julius Efraim (1819-1876)	1819	1876	 1
Hannikainen, Lauri	1889-1921.	Hannikainen, Lauri (1889-1921)	1889	1921	 1
Juslenius, Samuel	k. 1809.	Juslenius, Samuel (1809-NA)	1809	NA	 1
Aeimelaeus, Nicolaus	1753-1817	Aeimelaeus, Nicolaus (1753-1817)	1753	1817	 1
Wallenius, Gabriel Andreae	1648-1690.	Wallenius, Gabriel Andreae (1648-1690)	1648	1690	 1
Melander, Sveno	1665-1729.	Melander, Sveno (1665-1729)	1665	1729	 1
Flodberg, Axelius Josias	1785-1810	Flodberg, Axelius Josias (1785-1810)	1785	1810	 1
Akkanen, Ville	1894-1974.	Akkanen, Ville (1894-1974)	1894	1974	 1
Hedman, Valfrid	1872-1939.	Hedman, Valfrid (1872-1939)	1872	1939	 1
Pryss, Fridericus Samuelis	1741-1767	Pryss, Fridericus Samuelis (1741-1767)	1741	1767	 1
Freudenthal, A. O	1836-1911.	Freudenthal, A O (1836-1911)	1836	1911	 1
Kaatra, Kössi	1882-1928.	Kaatra, Kössi (1882-1928)	1882	1928	 1
Korpela, Simo	1863-1936.	Korpela, Simo (1863-1936)	1863	1936	 1
Lagus, Jonas	1798-1857.	Lagus, Jonas (1798-1857)	1798	1857	 1
Sininen, L	1875-1919	Sininen, L (1875-1919)	1875	1919	 1
Laurbecchius, Isaacus Petri	n. 1678-1716	Laurbecchius, Isaacus Petri (1678-1716)	1678	1716	 1
Rothovius, Gudmundus Jacobi	k. 1691.	Rothovius, Gudmundus Jacobi (1691-NA)	1691	NA	 1
Tengström, Carolus Jacobus af	1788-1823	Tengström, Carolus Jacobus Af (1788-1823)	1788	1823	 1
Löfving, Stefan	1689-1777.	Löfving, Stefan (1689-1777)	1689	1777	 1
Bonsdorff, Max von	1882-1967.	Bonsdorff, Max Von (1882-1967)	1882	1967	 1
Wanochius, Enevald Andersson	1681-1708.	Wanochius, Enevald Andersson (1681-1708)	1681	1708	 1
Forsius, Henricus	1733-1813	Forsius, Henricus (1733-1813)	1733	1813	 1
Kauppi, Emil	1875-1930.	Kauppi, Emil (1875-1930)	1875	1930	 1
Gezelius, Georgius Martini	1735-1789.	Gezelius, Georgius Martini (1735-1789)	1735	1789	 1
Rahkonen, A	1841-1877.	Rahkonen, A (1841-1877)	1841	1877	 1
Landtman, Gunnar	1878-1940.	Landtman, Gunnar (1878-1940)	1878	1940	 1
Blaeu, Willem Janszoon	1571-1638.	Blaeu, Willem Janszoon (1571-1638)	1571	1638	 1
Fahlenius, Jonas	1674-1748.	Fahlenius, Jonas (1674-1748)	1674	1748	 1
Kryger, Johan Fredric	1707-1777	Kryger, Johan Fredric (1707-1777)	1707	1777	 1
Levesque, Pierre Charles	1736-1812.	Levesque, Pierre Charles (1736-1812)	1736	1812	 1
Laurén, Ludvig	1860-1909.	Laurén, Ludvig (1860-1909)	1860	1909	 1
Skjöldebrand, Anders Fredrik	1757-1834.	Skjöldebrand, Anders Fredrik (1757-1834)	1757	1834	 1
Carpelius, Henricus	1711-1788.	Carpelius, Henricus (1711-1788)	1711	1788	 1
Gallius, Stephanus	k. 1647.	Gallius, Stephanus (1647-NA)	1647	NA	 1
Fries, Jacob	1749-1801.	Fries, Jacob (1749-1801)	1749	1801	 1
Tolpo, Martinus Johannes	1768-1830	Tolpo, Martinus Johannes (1768-1830)	1768	1830	 1
Puro, Olavi H	1883-1933.	Puro, Olavi H (1883-1933)	1883	1933	 1
Romanson, Henricus Wilhelm	1776-1853.	Romanson, Henricus Wilhelm (1776-1853)	1776	1853	 1
Suomela J	1827-1884.	Suomela,  (1827-1884)	1827	1884	 1
Kekäläinen, Olli	1791-1858.	Kekäläinen, Olli (1791-1858)	1791	1858	 1
Draba Verna	1850-1919	Verna, Draba (1850-1919)	1850	1919	 1
Alopaeus, Magnus Magni Jacobi	1775-1843	Alopaeus, Magnus Magni Jacobi (1775-1843)	1775	1843	 1
Falander, Jacobus Erici	1719-1779.	Falander, Jacobus Erici (1719-1779)	1719	1779	 1
Korhonen, Veikko	1888-1942.	Korhonen, Veikko (1888-1942)	1888	1942	 1
Hämäläinen, Konstantin	1853-1909.	Hämäläinen, Konstantin (1853-1909)	1853	1909	 1
Dahlberg, Johannes Petrus	1750-1815.	Dahlberg, Johannes Petrus (1750-1815)	1750	1815	 1
Lubin, Eilhardus	1565-1621.	Lubin, Eilhardus (1565-1621)	1565	1621	 1
Stenij, Edv	1857-1925.	Stenij, Edv (1857-1925)	1857	1925	 1
Vendell, Herman	1853-1907.	Vendell, Herman (1853-1907)	1853	1907	 1
Kujala, Juho	1878-1919.	Kujala, Juho (1878-1919)	1878	1919	 1
Siljo, Juhani	1888-1918.	Siljo, Juhani (1888-1918)	1888	1918	 1
Päivärinta, Jaakko Haniel	1847-1902.	Päivärinta, Jaakko Haniel (1847-1902)	1847	1902	 1
Latvala, Salu	1870-1928.	Latvala, Salu (1870-1928)	1870	1928	 1
Varén, J. I	1851-1912.	Varén, J I (1851-1912)	1851	1912	 1
Abrahamus Abrahami Ikalensis	k. 1675.	Ikalensis, Abrahamus (1675-NA)	1675	NA	 1
Suomela, J	1827-1884.	Suomela, J (1827-1884)	1827	1884	 1
Stephanius, Stephanus Johannis	k. 1650	Stephanius, Stephanus Johannis (1650-NA)	1650	NA	 1
Haahti, Hannu	1865-1935	Haahti, Hannu (1865-1935)	1865	1935	 1
Sundell, Johan	1766-1831.	Sundell, Johan (1766-1831)	1766	1831	 1
Drysenius, Magnus Laurentii	1636-1701.	Drysenius, Magnus Laurentii (1636-1701)	1636	1701	 1
Murman, Johan Wilhelm	1830-1892.	Murman, Johan Wilhelm (1830-1892)	1830	1892	 1
Korvenoja, Aku	1891-1962.	Korvenoja, Aku (1891-1962)	1891	1962	 1
Hagerstein, Johannes Magnus	1727-1779.	Hagerstein, Johannes Magnus (1727-1779)	1727	1779	 1
Kalima, Jalo	1884-1952.	Kalima, Jalo (1884-1952)	1884	1952	 1
Reinius, Israel Matthiae	1699-1771.	Reinius, Israel Matthiae (1699-1771)	1699	1771	 1
Laihiander, Johannes	1720-1794	Laihiander, Johannes (1720-1794)	1720	1794	 1
Draba Verna	1850-1919.	Verna, Draba (1850-1919)	1850	1919	 1
Lind, Anders Persson	k. 1730.	Lind, Anders Persson (1730-NA)	1730	NA	 1
Hertzberg, Rafaël	1845-1896.	Hertzberg, Rafaël (1845-1896)	1845	1896	 1
Schogster, Gustavus	1769-1829.	Schogster, Gustavus (1769-1829)	1769	1829	 1
Jörgensen, Arne	1883-1941.	Jörgensen, Arne (1883-1941)	1883	1941	 1
Aalto, Ari	1876-1938.	Aalto, Ari (1876-1938)	1876	1938	 1
Wessman, Johan Jacob	1752-1817.	Wessman, Johan Jacob (1752-1817)	1752	1817	 1
Haell, Andreas	n. 1717-1756.	Haell, Andreas (1717-1756)	1717	1756	 1
Cowper, William	1568-1619.	Cowper, William (1568-1619)	1568	1619	 1
Kouta, Aarni	1884-1924.	Kouta, Aarni (1884-1924)	1884	1924	 1
Spoof, Axel R	1845-1930.	Spoof, Axel R (1845-1930)	1845	1930	 1
Nordenskiöld, August	1754-1792.	Nordenskiöld, August (1754-1792)	1754	1792	 1
Francke, August Hermann	1663-1727.	Francke, August Hermann (1663-1727)	1663	1727	 1
...g	toiminta-aika 1770-luku.	g,  (1770-NA)	1770	NA	 1
Edman, Johannes Adamus	1783-1857	Edman, Johannes Adamus (1783-1857)	1783	1857	 1
Nicolay, Ludwig  von	1737-1820.	Nicolay, Ludwig Von (1737-1820)	1737	1820	 1
Agricola, Mikael	n. 1510-1557.	Agricola, Mikael (1510-1557)	1510	1557	 1
Tawaststjerna, Ilmari	1879-1932.	Tawaststjerna, Ilmari (1879-1932)	1879	1932	 1
Ristelius, Petrus	k. 1695.	Ristelius, Petrus (1695-NA)	1695	NA	 1
Tidgren, Gabriel	1743-1788	Tidgren, Gabriel (1743-1788)	1743	1788	 1
Peteche, Gabriel	1728-1778.	Peteche, Gabriel (1728-1778)	1728	1778	 1
Mollerus, Arvidus Christiani	1674-1758.	Mollerus, Arvidus Christiani (1674-1758)	1674	1758	 1
Faust	1879-1918.	Faust,  (1879-1918)	1879	1918	 1
Dahlman, Sveno Jonae	k. 1717.	Dahlman, Sveno Jonae (1717-NA)	1717	NA	 1
Schauman, Frans Ludvig	1810-1877.	Schauman, Frans Ludvig (1810-1877)	1810	1877	 1
Ticklén, Petrus	1792-1838.	Ticklén, Petrus (1792-1838)	1792	1838	 1
Fontell, Fredricus	1763-1827.	Fontell, Fredricus (1763-1827)	1763	1827	 1
Väänänen, Kalle	1888-1960	Väänänen, Kalle (1888-1960)	1888	1960	 1
Ross, Isaac	1739-1805	Ross, Isaac (1739-1805)	1739	1805	 1
Häggström, Nathanael	1721-1797	Häggström, Nathanael (1721-1797)	1721	1797	 1
Wegelius, Henrik Eliel	1853-1933.	Wegelius, Henrik Eliel (1853-1933)	1853	1933	 1
Fabritius, Ernst	1842-1899.	Fabritius, Ernst (1842-1899)	1842	1899	 1
Gezelius, Johannes	1647-1718	Gezelius, Johannes (1647-1718)	1647	1718	 1
Carpelan, Tor	1867-1960.	Carpelan, Tor (1867-1960)	1867	1960	 1
Flachsenius, Johannes Petrus Johannis	k. 1732.	Flachsenius, Johannes Petrus Johannis (1732-NA)	1732	NA	 1
Krook, Nicolaus Benjamini	k. 1711.	Krook, Nicolaus Benjamini (1711-NA)	1711	NA	 1
Loccenius, Johannes	1598-1677	Loccenius, Johannes (1598-1677)	1598	1677	 1
Proteus	1884-1918.	Proteus,  (1884-1918)	1884	1918	 1
Bonsdorff, Ilmari	1879-1950.	Bonsdorff, Ilmari (1879-1950)	1879	1950	 1
Meurman, Petrus	1716-1781.	Meurman, Petrus (1716-1781)	1716	1781	 1
Idman, Daniel Nicolai	1761-1806.	Idman, Daniel Nicolai (1761-1806)	1761	1806	 1
Tammelin, Nicolaus Laurentii	k. 1741.	Tammelin, Nicolaus Laurentii (1741-NA)	1741	NA	 1
Äyräpää, Matti	1852-1928.	äyräpää, Matti (1852-1928)	1852	1928	 1
Modeliin, Alexander Mårtensson	1670-1754	Modeliin, Alexander Mårtensson (1670-1754)	1670	1754	 1
Nycopensis, Joachimus Nicolai	k. 1671.	Nycopensis, Joachimus Nicolai (1671-NA)	1671	NA	 1
Danielsson, Axel	1890-1969.	Danielsson, Axel (1890-1969)	1890	1969	 1
Beckman, Johannes Caroli	s. 1745	Beckman, Johannes Caroli (1745-NA)	1745	NA	 1
Gerhard, Johannes	1582-1637.	Gerhard, Johannes (1582-1637)	1582	1637	 1
Cajander, Paavo	1846-1913.	Cajander, Paavo (1846-1913)	1846	1913	 1
Grundelius, Arvidus Johannis	1620-1658.	Grundelius, Arvidus Johannis (1620-1658)	1620	1658	 1
Kiesewetter, Johann Gottfried Carl Christian	1766-1819	Kiesewetter, Johann Gottfried Carl Christian (1766-1819)	1766	1819	 1
Kaitila, Anna	1876-1959.	Kaitila, Anna (1876-1959)	1876	1959	 1
Porkka, Volmari	1854-1889.	Porkka, Volmari (1854-1889)	1854	1889	 1
Alfthan, Johannes	1830-1893.	Alfthan, Johannes (1830-1893)	1830	1893	 1
Friis, Aleks	1874-1939.	Friis, Aleks (1874-1939)	1874	1939	 1
Bugge, P. O	1764-1849.	Bugge, P O (1764-1849)	1764	1849	 1
Rungius, Johannes Matthiae	1666-1704	Rungius, Johannes Matthiae (1666-1704)	1666	1704	 1
Pipping, Fredrik Wilhelm	1783-1868.	Pipping, Fredrik Wilhelm (1783-1868)	1783	1868	 1
Corander, Klas	1822-1872.	Corander, Klas (1822-1872)	1822	1872	 1
Aspegren, Gabriel Andreae	1708-1784.	Aspegren, Gabriel Andreae (1708-1784)	1708	1784	 1
Broken, Justinus Henriksson von	k. n. 1670.	Broken, Justinus Henriksson Von (1670-NA)	1670	NA	 1
Meikäläinen, Matti	1868-1934.	Meikäläinen, Matti (1868-1934)	1868	1934	 1
Juva, Valter	1865-1922.	Juva, Valter (1865-1922)	1865	1922	 1
Hassel, Henricus	1700-1776	Hassel, Henricus (1700-1776)	1700	1776	 1
Hämeen-Anttila, V	1878-1942.	Hämeen-anttila, V (1878-1942)	1878	1942	 1
Åkerberg, Nicolaus Laurentii	n. 1705-1785.	åkerberg, Nicolaus Laurentii (1705-1785)	1705	1785	 1
Heikinheimo, Olli	1882-1973.	Heikinheimo, Olli (1882-1973)	1882	1973	 1
Weckman, Henricus	1765-1824.	Weckman, Henricus (1765-1824)	1765	1824	 1
Rabbe, Franciscus Johannes	1801-1879.	Rabbe, Franciscus Johannes (1801-1879)	1801	1879	 1
Swanström, Johannes	k. 1707.	Swanström, Johannes (1707-NA)	1707	NA	 1
Stenhagen, Petter	1712-1772.	Stenhagen, Petter (1712-1772)	1712	1772	 1
Sund, Viktor	1891-1966.	Sund, Viktor (1891-1966)	1891	1966	 1
Wacklin, Sara	1790-1846.	Wacklin, Sara (1790-1846)	1790	1846	 1
Synnerberg, Carl	1837-1915.	Synnerberg, Carl (1837-1915)	1837	1915	 1
Ilmoni, Immanuel	1797-1856.	Ilmoni, Immanuel (1797-1856)	1797	1856	 1
Järvinen, Kyösti	1869-1957.	Järvinen, Kyösti (1869-1957)	1869	1957	 1
Tengström, Jacob	1755-1832	Tengström, Jacob (1755-1832)	1755	1832	 1
Haartman, Jacobus Johannis	1717-1788	Haartman, Jacobus Johannis (1717-1788)	1717	1788	 1
Ahtela, H	1881-1968.	Ahtela, H (1881-1968)	1881	1968	 1
Judex, Matthaeus	1528-1564.	Judex, Matthaeus (1528-1564)	1528	1564	 1
Gräsbeck, Gustaf	1796-1848.	Gräsbeck, Gustaf (1796-1848)	1796	1848	 1
Järveläinen, O	1868-1841.	Järveläinen, O	NA	NA	 1
Lilja, Anni	1871-1951.	Lilja, Anni (1871-1951)	1871	1951	 1
Waaranen	1849-1923.	Waaranen,  (1849-1923)	1849	1923	 1
Järviluoma, Artturi	1879-1942.	Järviluoma, Artturi (1879-1942)	1879	1942	 1
Arenius, Henricus	1780-1818	Arenius, Henricus (1780-1818)	1780	1818	 1
Tilenius, Samuel Petri	k. 1683.	Tilenius, Samuel Petri (1683-NA)	1683	NA	 1
Borgström, Laurentius Andreas	1761-1840.	Borgström, Laurentius Andreas (1761-1840)	1761	1840	 1
Limaeus, Johannes Erlandi	1644-1723.	Limaeus, Johannes Erlandi (1644-1723)	1644	1723	 1
Neovius-Nevanlinna, L	1850-1916.	Neovius-nevanlinna, L (1850-1916)	1850	1916	 1
Wendt, Fredrik Willehard von	1843-1891.	Wendt, Fredrik Willehard Von (1843-1891)	1843	1891	 1
Åhman, Nicolaus	1707-1790.	åhman, Nicolaus (1707-1790)	1707	1790	 1
Falkman, Severin	1831-1889.	Falkman, Severin (1831-1889)	1831	1889	 1
Ahlgren, Vilho	1848-1927.	Ahlgren, Vilho (1848-1927)	1848	1927	 1
Kajander, Kalle	1862-1928.	Kajander, Kalle (1862-1928)	1862	1928	 1
Hellens, Carolus Nicolaus von	1745-1820.	Hellens, Carolus Nicolaus Von (1745-1820)	1745	1820	 1
Sirenius, Daniel Sigfridi	k. 1721.	Sirenius, Daniel Sigfridi (1721-NA)	1721	NA	 1
Soterus, Henricus Torstani	1600-1645.	Soterus, Henricus Torstani (1600-1645)	1600	1645	 1
Ingman, A. W	1819-1877.	Ingman, A W (1819-1877)	1819	1877	 1
Tunander, Nicolaus Jonae	1625-1679.	Tunander, Nicolaus Jonae (1625-1679)	1625	1679	 1
Brenner, Sophia Elisabeth	1659-1730.	Brenner, Sophia Elisabeth (1659-1730)	1659	1730	 1
Rutström, Carolus Birgerus	1758-1826.	Rutström, Carolus Birgerus (1758-1826)	1758	1826	 1
Winge, Hans Petter	1770-1836	Winge, Hans Petter (1770-1836)	1770	1836	 1
Weckström, M	1803-1873.	Weckström, M (1803-1873)	1803	1873	 1
Schildt, Wolmar	1810-1893	Schildt, Wolmar (1810-1893)	1810	1893	 1
Runeberg, Robert	1846-1919.	Runeberg, Robert (1846-1919)	1846	1919	 1
Brandt, Johannes Alexander	1736-1789.	Brandt, Johannes Alexander (1736-1789)	1736	1789	 1
Collan, Fabian	1817-1851.	Collan, Fabian (1817-1851)	1817	1851	 1
J. S	1600/1700-luku.	J, 	NA	NA	 1
Arvi K	1879-1958.	Arvi,  (1879-1958)	1879	1958	 1
Mollin, Jonas	k. 1734.	Mollin, Jonas (1734-NA)	1734	NA	 1
Linkola, K	1888-1942.	Linkola, K (1888-1942)	1888	1942	 1
Raumannus, Paulus Simonis	k. 1682	Raumannus, Paulus Simonis (1682-NA)	1682	NA	 1
Waenerberg, Georg	1865-1941.	Waenerberg, Georg (1865-1941)	1865	1941	 1
Gadolin, Nils Anders	1807-1897.	Gadolin, Nils Anders (1807-1897)	1807	1897	 1
Laurelius, Olaus Laurentii	1585-1670.	Laurelius, Olaus Laurentii (1585-1670)	1585	1670	 1
Kemner, Heinricus Martini	k. 1638.	Kemner, Heinricus Martini (1638-NA)	1638	NA	 1
Burman, Olof Abrahamsson	1709-1759.	Burman, Olof Abrahamsson (1709-1759)	1709	1759	 1
Genberg, Carolus Jonae	1711-1799.	Genberg, Carolus Jonae (1711-1799)	1711	1799	 1
Lindqvist, Johannes Henricus	1743-1798	Lindqvist, Johannes Henricus (1743-1798)	1743	1798	 1
Seilerus, Joachimus	k. 1616/1617.	Seilerus, Joachimus (1616-NA)	1616	NA	 1
Alanus, Henricus Henrici	1743-1810	Alanus, Henricus Henrici (1743-1810)	1743	1810	 1
Lindforss, Martinus Johannes	1800-1869.	Lindforss, Martinus Johannes (1800-1869)	1800	1869	 1
Schaefer, Johannes Henrici	1657-1725.	Schaefer, Johannes Henrici (1657-1725)	1657	1725	 1
Roslin, Mathilda	1837-1923.	Roslin, Mathilda (1837-1923)	1837	1923	 1
Elfwing, Petrus	1677-1726.	Elfwing, Petrus (1677-1726)	1677	1726	 1
Appelgren-Kivalo, Hjalmar	1853-1937.	Appelgren-kivalo, Hjalmar (1853-1937)	1853	1937	 1
Fabricius, Aeschillus Svenonis	1625-1692.	Fabricius, Aeschillus Svenonis (1625-1692)	1625	1692	 1
Dahl, Zacharias Michaelis	1709-1753.	Dahl, Zacharias Michaelis (1709-1753)	1709	1753	 1
Borg, C. G	1823-1895.	Borg, C G (1823-1895)	1823	1895	 1
Komonen, Pekka	1866-1946.	Komonen, Pekka (1866-1946)	1866	1946	 1
Calamnius, Gabriel Gabrielis	1728-1774.	Calamnius, Gabriel Gabrielis (1728-1774)	1728	1774	 1
Hjelt, Otto Edvard August	1823-1913.	Hjelt, Otto Edvard August (1823-1913)	1823	1913	 1
Kolmodin, Olaus	1766-1838.	Kolmodin, Olaus (1766-1838)	1766	1838	 1
V. R	1867-1948	V,  (1867-1948)	1867	1948	 1
Mesterton, Carolus	1715-1773.	Mesterton, Carolus (1715-1773)	1715	1773	 1
Almberg, Emil	1852-1929.	Almberg, Emil (1852-1929)	1852	1929	 1
Wallén, Jeremias Jeremiae	1693-1772.	Wallén, Jeremias Jeremiae (1693-1772)	1693	1772	 1
Enckell, Carolus	1740-1813	Enckell, Carolus (1740-1813)	1740	1813	 1
Bonsdorff, Hj. von	1858-1932.	Bonsdorff, Hj Von (1858-1932)	1858	1932	 1
Possieth, Johannes	1667-1728.	Possieth, Johannes (1667-1728)	1667	1728	 1
Pulkkinen, Paavo	1842-	Pulkkinen, Paavo (1842-NA)	1842	NA	 1
Karhinen, Hanna	1878-1938.	Karhinen, Hanna (1878-1938)	1878	1938	 1
Grimsteen, Jonas Simonis	k. 1717.	Grimsteen, Jonas Simonis (1717-NA)	1717	NA	 1
Woldstedt, Fredrik	1813-1861	Woldstedt, Fredrik (1813-1861)	1813	1861	 1
Tötterman, Henricus	1766-1828	Tötterman, Henricus (1766-1828)	1766	1828	 1
Frosterus, Abrahamus	1714-1766.	Frosterus, Abrahamus (1714-1766)	1714	1766	 1
Kramsu, Kaarlo	1855-1895.	Kramsu, Kaarlo (1855-1895)	1855	1895	 1
Tålpo, Johannes Simonis	1684-1740.	Tålpo, Johannes Simonis (1684-1740)	1684	1740	 1
Karpio, Vihtori	1885-1964	Karpio, Vihtori (1885-1964)	1885	1964	 1
Iku-Turso	1875-1919.	Iku-turso,  (1875-1919)	1875	1919	 1
Salvius, Lars	1706-1773	Salvius, Lars (1706-1773)	1706	1773	 1
Sucksdorff, Kristian Gustaf	1824-1880.	Sucksdorff, Kristian Gustaf (1824-1880)	1824	1880	 1
Järventaus, Arvi	1883-1939.	Järventaus, Arvi (1883-1939)	1883	1939	 1
Tilas, Daniel	1712-1772.	Tilas, Daniel (1712-1772)	1712	1772	 1
Vigelius, Sveno Laurentii	n. 1600-1653	Vigelius, Sveno Laurentii (1600-1653)	1600	1653	 1
Carlander, Johannes Henrici	k. 1688.	Carlander, Johannes Henrici (1688-NA)	1688	NA	 1
Backman, Daniel Danielis	1769-1834	Backman, Daniel Danielis (1769-1834)	1769	1834	 1
Wallerius, Haraldus Johannis	1646-1716	Wallerius, Haraldus Johannis (1646-1716)	1646	1716	 1
Laghe, Magnus Magni	k. 1697	Laghe, Magnus Magni (1697-NA)	1697	NA	 1
Polviander, Carolus Nicolai	1712-1798.	Polviander, Carolus Nicolai (1712-1798)	1712	1798	 1
Burghausen, C. v	1811-1844	Burghausen, C V (1811-1844)	1811	1844	 1
Wallström, Eric	1720-1758.	Wallström, Eric (1720-1758)	1720	1758	 1
Loffman, Carl Gustav	1731-1794	Loffman, Carl Gustav (1731-1794)	1731	1794	 1
